,0
410,TRAJ2
411,TRAJ20
412,TRAJ21
413,TRAJ22
414,TRAJ23
415,TRAJ24
416,TRAJ25
417,TRAJ26
418,TRAJ27
419,TRAJ28
420,TRAJ29
421,TRAJ3
422,TRAJ30
423,TRAJ31
424,TRAJ32
425,TRAJ33
426,TRAJ34
427,TRAJ35
428,TRAJ36
429,TRAJ37
430,TRAJ38
431,TRAJ39
432,TRAJ4
433,TRAJ40
434,TRAJ41
435,TRAJ42
436,TRAJ43
437,TRAJ44
438,TRAJ45
439,TRAJ46
440,TRAJ47
441,TRAJ48
442,TRAJ49
443,TRAJ5
444,TRAJ50
445,TRAJ51
446,TRAJ52
447,TRAJ53
448,TRAJ54
449,TRAJ55
450,TRAJ56
451,TRAJ57
452,TRAJ58
453,TRAJ59
454,TRAJ6
455,TRAJ60
456,TRAJ61
457,TRAJ7
458,TRAJ8
459,TRAJ9
460,TRAV1-1
461,TRAV1-2
462,TRAV10
463,TRAV11
464,TRAV12-1
465,TRAV12-2
466,TRAV12-3
467,TRAV13-1
468,TRAV13-2
469,TRAV14DV4
470,TRAV15
471,TRAV16
472,TRAV17
473,TRAV18
474,TRAV19
475,TRAV2
476,TRAV20
477,TRAV21
478,TRAV22
479,TRAV23DV6
480,TRAV24
481,TRAV25
482,TRAV26-1
483,TRAV26-2
484,TRAV27
485,TRAV28
486,TRAV29DV5
487,TRAV3
488,TRAV30
489,TRAV31
490,TRAV32
491,TRAV33
492,TRAV34
493,TRAV35
494,TRAV36DV7
495,TRAV37
496,TRAV38-1
497,TRAV38-2DV8
498,TRAV39
499,TRAV4
500,TRAV40
501,TRAV41
502,TRAV5
503,TRAV6
504,TRAV7
505,TRAV8-1
506,TRAV8-2
507,TRAV8-3
508,TRAV8-4
509,TRAV8-5
510,TRAV8-6
511,TRAV8-7
512,TRAV9-1
513,TRAV9-2
514,TRBC1
515,TRBC2
516,TRBD1
517,TRBJ1-1
518,TRBJ1-2
519,TRBJ1-3
520,TRBJ1-4
521,TRBJ1-5
522,TRBJ1-6
523,TRBJ2-1
524,TRBJ2-2
525,TRBJ2-2P
526,TRBJ2-3
527,TRBJ2-4
528,TRBJ2-5
529,TRBJ2-6
530,TRBJ2-7
531,TRBV1
532,TRBV10-1
533,TRBV10-2
534,TRBV10-3
535,TRBV11-1
536,TRBV11-2
537,TRBV11-3
538,TRBV12-1
539,TRBV12-2
540,TRBV12-3
541,TRBV12-4
542,TRBV12-5
543,TRBV13
544,TRBV14
545,TRBV15
546,TRBV16
547,TRBV17
548,TRBV18
549,TRBV19
550,TRBV2
551,TRBV20-1
552,TRBV20OR9-2
553,TRBV21-1
554,TRBV21OR9-2
555,TRBV22-1
556,TRBV22OR9-2
557,TRBV23-1
558,TRBV23OR9-2
559,TRBV24-1
560,TRBV24OR9-2
561,TRBV25-1
562,TRBV26
563,TRBV26OR9-2
564,TRBV27
565,TRBV28
566,TRBV29-1
567,TRBV29OR9-2
568,TRBV3-1
569,TRBV30
570,TRBV4-1
571,TRBV4-2
572,TRBV5-1
573,TRBV5-2
574,TRBV5-3
575,TRBV5-4
576,TRBV5-5
577,TRBV5-6
578,TRBV5-7
579,TRBV6-1
580,TRBV6-2
581,TRBV6-4
582,TRBV6-5
583,TRBV6-6
584,TRBV6-7
585,TRBV6-8
586,TRBV7-1
587,TRBV7-2
588,TRBV7-3
589,TRBV7-4
590,TRBV7-5
591,TRBV7-6
592,TRBV7-7
593,TRBV7-9
594,TRBV8-1
595,TRBV8-2
596,TRBV9
597,TRBVA
598,TRBVB
599,TRDC
600,TRDD1
601,TRDD2
602,TRDD3
603,TRDJ1
604,TRDJ2
605,TRDJ3
606,TRDJ4
607,TRDV1
608,TRDV2
609,TRDV3
610,IGHV5-10-1
611,IGLC2
612,IGLV3-21
614,IGHV1-69
615,IGHV7-4-1
616,IGHV3-64D
617,IGHV2-70D
618,IGHV3-69-1
619,IGH1V1-69D
620,IGHV4-80
621,IGHV1-69D
